CustomerID,Segment,BehaviorScore,LevelOfTrust,TransactionsVolume,TotalValue,Status,LastActive
CUST-10025,Guest,51,Medium,26,10180.37,Under Review,2026-09-22T14:03:34.029564
CUST-10026,Premium,61,Untrusted,66,23218.81,Active,2026-09-22T14:03:34.029573
CUST-10027,Premium,29,High,401,12995.37,Flagged,2026-09-22T14:03:34.029583
CUST-10028,Retail,67,High,228,17478.46,Under Review,2026-09-22T14:03:34.029592
CUST-10029,Guest,48,Low,475,20667.67,Under Review,2026-09-22T14:03:34.029601
CUST-10030,Retail,52,Untrusted,125,17028.11,Flagged,2026-09-22T14:03:34.029609
CUST-10031,Corporate,44,Low,423,3425.42,Suspended,2026-09-22T14:03:34.029617
CUST-10032,Corporate,81,Untrusted,384,6996.15,Flagged,2026-09-22T14:03:34.029626
CUST-10033,Guest,51,Untrusted,487,11364.9,Active,2026-09-22T14:03:34.029635
CUST-10034,Corporate,77,Untrusted,340,545.86,Active,2026-09-22T14:03:34.029644
CUST-10035,Premium,92,Low,212,9589.41,Active,2026-09-22T14:03:34.029652
CUST-10036,Corporate,68,Untrusted,155,4213.94,Under Review,2026-09-22T14:03:34.029660
CUST-10037,Premium,13,Untrusted,144,14470.2,Under Review,2026-09-22T14:03:34.029669
CUST-10038,Retail,58,Untrusted,42,7811.73,Active,2026-09-22T14:03:34.029678
CUST-10039,Premium,62,Medium,22,7597.91,Suspended,2026-09-22T14:03:34.029686
CUST-10040,Guest,93,Medium,430,24773.11,Active,2026-09-22T14:03:34.029695
CUST-10041,Premium,25,Untrusted,353,21575.65,Under Review,2026-09-22T14:03:34.029704
CUST-10042,Corporate,30,Untrusted,32,5075.21,Flagged,2026-09-22T14:03:34.029713
CUST-10043,Corporate,32,Untrusted,466,5035.34,Suspended,2026-09-22T14:03:34.029723
CUST-10044,Guest,35,Medium,371,21718.24,Under Review,2026-09-22T14:03:34.029732
CUST-10045,Retail,43,Untrusted,394,3051.62,Flagged,2026-09-22T14:03:34.029741
CUST-10046,Corporate,42,Medium,438,23462.76,Under Review,2026-09-22T14:03:34.029749
CUST-10047,Retail,40,High,443,6398.99,Under Review,2026-09-22T14:03:34.029760
CUST-10048,Retail,50,High,260,16484.97,Active,2026-09-22T14:03:34.029768
CUST-10049,Retail,20,Medium,146,15396.31,Under Review,2026-09-22T14:03:34.029779
CUST-10050,Premium,39,Untrusted,405,9255.36,Active,2026-09-22T14:03:34.029784
CUST-10051,Corporate,56,Untrusted,330,17187.33,Under Review,2026-09-22T14:03:34.029789
CUST-10052,Guest,36,High,405,23519.42,Active,2026-09-22T14:03:34.029794
CUST-10053,Premium,18,Low,227,18852.46,Under Review,2026-09-22T14:03:34.029799
CUST-10054,Premium,88,Medium,497,20447.44,Under Review,2026-09-22T14:03:34.029804
CUST-10055,Premium,90,Low,417,23106.34,Suspended,2026-09-22T14:03:34.029809
CUST-10056,Premium,36,Untrusted,137,23510.47,Active,2026-09-22T14:03:34.029813
CUST-10057,Guest,67,Low,464,5371.76,Active,2026-09-22T14:03:34.029818
CUST-10058,Guest,24,Untrusted,353,12290.42,Suspended,2026-09-22T14:03:34.029823
CUST-10059,Guest,87,Untrusted,273,19314.35,Under Review,2026-09-22T14:03:34.029827
CUST-10060,Premium,25,Untrusted,87,6878.31,Active,2026-09-22T14:03:34.029836
CUST-10061,Guest,58,High,195,22778.94,Flagged,2026-09-22T14:03:34.029841
CUST-10062,Premium,49,High,288,9039.5,Under Review,2026-09-22T14:03:34.029846
CUST-10063,Retail,64,High,436,5215.93,Active,2026-09-22T14:03:34.029851
CUST-10064,Premium,40,Untrusted,29,24109.6,Flagged,2026-09-22T14:03:34.029856
CUST-10065,Guest,67,High,232,11291.56,Active,2026-09-22T14:03:34.029862
CUST-10066,Retail,49,Low,69,9181.83,Under Review,2026-09-22T14:03:34.029867
CUST-10067,Guest,19,Medium,424,8024.69,Suspended,2026-09-22T14:03:34.029871
CUST-10068,Retail,66,High,289,17037.71,Active,2026-09-22T14:03:34.029877
CUST-10069,Retail,54,Low,115,8970.35,Flagged,2026-09-22T14:03:34.029882
CUST-10070,Retail,97,Untrusted,146,6472.15,Active,2026-09-22T14:03:34.029887
CUST-10071,Corporate,44,Medium,140,13046.78,Active,2026-09-22T14:03:34.029891
CUST-10072,Premium,27,High,455,17551.53,Active,2026-09-22T14:03:34.029896
CUST-10073,Retail,43,High,226,2051.66,Active,2026-09-22T14:03:34.029901
CUST-10074,Guest,52,High,464,6314.16,Suspended,2026-09-22T14:03:34.029905
CUST-10075,Corporate,40,Untrusted,77,6248.46,Active,2026-09-22T14:03:34.029910
CUST-10076,Premium,10,Low,248,14761.19,Under Review,2026-09-22T14:03:34.029915
CUST-10077,Premium,61,Medium,256,14234.59,Under Review,2026-09-22T14:03:34.029921
CUST-10078,Guest,24,High,83,23632.25,Under Review,2026-09-22T14:03:34.029926
CUST-10079,Corporate,63,Low,152,17428.63,Suspended,2026-09-22T14:03:34.029931
CUST-10080,Corporate,83,Untrusted,107,8018.83,Under Review,2026-09-22T14:03:34.029935
CUST-10081,Retail,83,Low,21,14851.12,Active,2026-09-22T14:03:34.029940
CUST-10082,Retail,93,High,308,3823.39,Flagged,2026-09-22T14:03:34.029945
CUST-10083,Guest,34,High,215,13414.15,Active,2026-09-22T14:03:34.029949
CUST-10084,Guest,37,Low,295,22225.62,Under Review,2026-09-22T14:03:34.029954
CUST-10085,Premium,62,Medium,293,8332.53,Suspended,2026-09-22T14:03:34.029959
CUST-10086,Retail,95,Low,78,24647.98,Flagged,2026-09-22T14:03:34.029963
CUST-10087,Guest,19,Untrusted,157,10200.83,Flagged,2026-09-22T14:03:34.029968
CUST-10088,Corporate,30,Low,383,20243.95,Suspended,2026-09-22T14:03:34.029973
CUST-10089,Guest,90,Untrusted,390,17877.22,Flagged,2026-09-22T14:03:34.029977
CUST-10090,Premium,17,Low,382,1390.9,Active,2026-09-22T14:03:34.029982
CUST-10091,Retail,86,Medium,177,6677.51,Suspended,2026-09-22T14:03:34.029986
CUST-10092,Corporate,20,Untrusted,397,7655.5,Flagged,2026-09-22T14:03:34.029991
CUST-10093,Corporate,28,Low,139,11946.96,Under Review,2026-09-22T14:03:34.029996
CUST-10094,Premium,53,High,226,20890.62,Suspended,2026-09-22T14:03:34.030001
CUST-10095,Premium,37,Medium,149,16290.89,Under Review,2026-09-22T14:03:34.030006
CUST-10096,Corporate,79,Low,98,14848.08,Active,2026-09-22T14:03:34.030010
CUST-10097,Retail,87,Low,264,8327.94,Suspended,2026-09-22T14:03:34.030015
CUST-10098,Guest,79,Low,364,11111.39,Suspended,2026-09-22T14:03:34.030020
CUST-10099,Corporate,86,Medium,176,1922.88,Under Review,2026-09-22T14:03:34.030024
